ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
06-Paris-LA-66 protocol,C046983,,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,4519131
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Hyperkinesis,MESH:D006948,marker/mechanism,19098162
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Seizures,MESH:D012640,marker/mechanism,26348896
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Epilepsy,MESH:D004827,therapeutic,17516704
"10,11-dihydroxy-N-n-propylnorapomorphine",C425777,,Hyperkinesis,MESH:D006948,marker/mechanism,15765258
10-hydroxycamptothecin,C028098,67656-30-8,Huntington Disease,MESH:D006816,therapeutic,21909362
10-hydroxycamptothecin,C028098,67656-30-8,Liver Neoplasms,MESH:D008113,therapeutic,16603448
10-hydroxynortriptyline,C013567,1156-99-6,Heart Failure,MESH:D006333,marker/mechanism,6703113
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Leukemia,MESH:D007938,therapeutic,20833157
10-nitro-oleic acid,C521487,,Triple Negative Breast Neoplasms,MESH:D064726,therapeutic,29158255
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, Non-Hodgkin",MESH:D008228,therapeutic,16467107
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, T-Cell",MESH:D016399,therapeutic,21301589
10-propargyl-10-deazaaminopterin,C418863,,Stevens-Johnson Syndrome,MESH:D013262,marker/mechanism,25811541
"1,10-diaminodecane",C065351,,Seizures,MESH:D012640,therapeutic,9641557
"1,10-diaminodecane",C065351,,Tremor,MESH:D014202,marker/mechanism,9641557
"1,10-phenanthroline",C025205,66-71-7,"Abnormalities, Drug-Induced",MESH:D000014,marker/mechanism,17091503
"1,1,1,2-tetrafluoro-2-chloroethane",C072959,2837-89-0,Liver Diseases,MESH:D008107,marker/mechanism,9284778
"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid",C527346,,Inflammation,MESH:D007249,marker/mechanism,17993463
"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",C495657,,Ovarian Diseases,MESH:D010049,marker/mechanism,16760418|22306526
"1,1,1-trichloroethane",C024566,71-55-6,"Arrhythmias, Cardiac",MESH:D001145,marker/mechanism,3105712|6124437
"1,1,1-trichloroethane",C024566,71-55-6,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,2361581|2862719|4356632|6623471
"1,1,1-trichloroethane",C024566,71-55-6,Heart Failure,MESH:D006333,marker/mechanism,3105712
"1,1,1-trichloroethane",C024566,71-55-6,"Hepatitis, Chronic",MESH:D006521,marker/mechanism,12594376
"1,1,2,2-tetrabromoethane",C037530,79-27-6,Lung Neoplasms,MESH:D008175,marker/mechanism,292813
"1,1,2,2-tetrabromoethane",C037530,79-27-6,Stomach Neoplasms,MESH:D013274,marker/mechanism,292813
"1,1,2,2-tetrachloroethane",C015530,79-34-5,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,2361581|7440962
"1,1,2,2-tetrachloroethane",C015530,79-34-5,Precancerous Conditions,MESH:D011230,marker/mechanism,3296316
"1,12-benzoperylene",C006718,191-24-2,Skin Diseases,MESH:D012871,marker/mechanism,37150498
"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",C532626,,Cocaine-Related Disorders,MESH:D019970,therapeutic,19996296
"1,1,2-trichloroethane",C024567,79-00-5,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,1489524|2361581|2862719|4064947|4356632|6623471|6884620|7120509|7179309
"1,1,2-trichloroethane",C024567,79-00-5,Precancerous Conditions,MESH:D011230,marker/mechanism,3296316
"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",C085415,34023-62-6,Hyperkinesis,MESH:D006948,therapeutic,9286612
"1-(1,4-benzodioxan-6-ylcarbonyl)piperidine",C443080,,Seizures,MESH:D012640,marker/mechanism,34536444
1-(1-(4-fluorophenyl)ethyl)-3-((3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)methylene)-2-piperidinone,C555019,,Cataract,MESH:D002386,marker/mechanism,24085193
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Movement Disorders,MESH:D009069,therapeutic,30472438
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Poisoning,MESH:D011041,therapeutic,30472438
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Edema,MESH:D004487,marker/mechanism,36805134
"1,1-bis(4-hydroxyphenyl)-2,2-dichloroethylene",C000705689,,Scoliosis,MESH:D012600,marker/mechanism,36805134
11-dehydro-thromboxane B2,C049235,67910-12-7,Cardiovascular Diseases,MESH:D002318,marker/mechanism,20174466
11-dehydro-thromboxane B2,C049235,67910-12-7,Stroke,MESH:D020521,marker/mechanism,11684346
"1,1-dichloro-1-fluoroethane",C068320,,Hyperplasia,MESH:D006965,marker/mechanism,7797176
"1,1-dichloroethane",C501196,75-34-3,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,2862719
"1,1-dichloroethane",C501196,75-34-3,Precancerous Conditions,MESH:D011230,marker/mechanism,3296316
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Acute Lung Injury,MESH:D055371,therapeutic,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Cardiomyopathies,MESH:D009202,therapeutic,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Colitis,MESH:D003092,therapeutic,22119709
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119,therapeutic,22442067
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Fibrosis,MESH:D005355,therapeutic,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperalgesia,MESH:D006930,therapeutic,29143802
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperglycemia,MESH:D006943,therapeutic,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Inflammation,MESH:D007249,marker/mechanism,19513120
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Insulin Resistance,MESH:D007333,therapeutic,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pulmonary Edema,MESH:D011654,therapeutic,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Gain,MESH:D015430,therapeutic,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Loss,MESH:D015431,therapeutic,22119709
"1,1-diphenyl-2-picrylhydrazyl",C004931,1898-66-4,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,20020846
11-hydroxy-delta(9)-tetrahydrocannabinol,C001427,26108-40-7,Bradycardia,MESH:D001919,marker/mechanism,9190833
11-hydroxy-delta(9)-tetrahydrocannabinol,C001427,26108-40-7,Hypotension,MESH:D007022,marker/mechanism,9190833
11-keto-boswellic acid,C447943,,"Carcinoma, Ehrlich Tumor",MESH:D002286,therapeutic,21056033
11-keto-boswellic acid,C447943,,Myocardial Reperfusion Injury,MESH:D015428,therapeutic,23771412
11-keto-boswellic acid,C447943,,Sarcoma 180,MESH:D012510,therapeutic,21056033
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Cardiomegaly,MESH:D006332,therapeutic,21383588
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Seizures,MESH:D012640,therapeutic,25448683
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Amnesia,MESH:D000647,therapeutic,17276409
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Hyperalgesia,MESH:D006930,therapeutic,17276409
1-(1-naphthyl)piperazine,C048241,57536-86-4,Feeding and Eating Disorders,MESH:D001068,therapeutic,8223940
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Marijuana Abuse,MESH:D002189,marker/mechanism,18563365
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Arthritis, Experimental",MESH:D001169,therapeutic,18508045
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,19878665
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,,Hyperalgesia,MESH:D006930,therapeutic,18938155
"12,20-dihydroxy-5,8,10,14-eicosatetraenoic acid",C040735,,Psoriasis,MESH:D011565,marker/mechanism,3087403
1-(2-(2-thienyl)-2-adamantyl) morpholine,C508955,,Seizures,MESH:D012640,therapeutic,16167315
"1,2,3,4,5,6-hexachloronaphthalene",C049022,58877-88-6,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,19783048
"1,2,3,4,6,7,8-heptachlorodibenzodioxin",C046839,35822-46-9,Metabolic Syndrome,MESH:D024821,marker/mechanism,19440495
"1,2,3,4,6,7,8-heptachlorodibenzofuran",C473650,,Insulin Resistance,MESH:D007333,marker/mechanism,26752053
"1,2,3,4,6,7,8-heptachlorodibenzofuran",C473650,,"Obesity, Abdominal",MESH:D056128,marker/mechanism,26752053
"1,2,3,4,6,7-hexachlorinated naphthalene",C412791,,Atrophy,MESH:D001284,marker/mechanism,22813907
"1,2,3,4,7,8-hexachlorodibenzofuran",C051412,70648-26-9,Metabolic Syndrome,MESH:D024821,marker/mechanism,17624515
"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,,Catalepsy,MESH:D002375,marker/mechanism,19107466
"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,,Hyperkinesis,MESH:D006948,therapeutic,19347958
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Hyperalgesia,MESH:D006930,therapeutic,22466128
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Learning Disabilities,MESH:D007859,marker/mechanism,36640868
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Memory Disorders,MESH:D008569,marker/mechanism,36640868
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Neural Tube Defects,MESH:D009436,marker/mechanism,17326132
"1,2,3,4-tetrahydro-1-(phenylmethyl)isoquinoline",C084924,,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,marker/mechanism,25242405
"1,2,3,4-tetrahydro-1-(phenylmethyl)isoquinoline",C084924,,Parkinson Disease,MESH:D010300,marker/mechanism,15114628
"1,2,3,4-tetrahydroisoquinoline",C014843,,Hyperkinesis,MESH:D006948,marker/mechanism,12832229
"1,2,3,4-tetrahydroisoquinoline",C014843,,Substance Withdrawal Syndrome,MESH:D013375,therapeutic,18840427
"1,2,3,5,6,7-hexachloronaphthalene",C575652,,Atrophy,MESH:D001284,marker/mechanism,22813907
"1,2,3,5,6,7-hexachloronaphthalene",C575652,,Fatty Liver,MESH:D005234,marker/mechanism,26403959
"1,2,3,5,6,7-hexachloronaphthalene",C575652,,Fetal Growth Retardation,MESH:D005317,marker/mechanism,26403959
"1,2,3,5,6,7-hexachloronaphthalene",C575652,,Fetal Resorption,MESH:D005327,marker/mechanism,26403959
"1,2,3,6,7,8-hexachlorodibenzodioxin",C046838,57653-85-7,Metabolic Syndrome,MESH:D024821,marker/mechanism,19440495
"1,2,3,7,8-pentachlorodibenzofuran",C057584,57117-41-6,Insulin Resistance,MESH:D007333,marker/mechanism,26752053
"1,2,3,7,8-pentachlorodibenzofuran",C057584,57117-41-6,"Obesity, Abdominal",MESH:D056128,marker/mechanism,26752053
"1,2,3,7,8-pentachlorodibenzo-p-dioxin",C051452,40321-76-4,Insulin Resistance,MESH:D007333,marker/mechanism,26752053
"1,2,3,7,8-pentachlorodibenzo-p-dioxin",C051452,40321-76-4,"Obesity, Abdominal",MESH:D056128,marker/mechanism,26752053
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Brain Infarction,MESH:D020520,therapeutic,19435785
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Hyperplasia,MESH:D006965,therapeutic,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Hypertension,MESH:D006973,therapeutic,15699457
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Edema,MESH:D011654,therapeutic,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Pulmonary Fibrosis,MESH:D011658,therapeutic,28694203
12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Weight Loss,MESH:D015431,therapeutic,28694203
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,,Hyperalgesia,MESH:D006930,therapeutic,28592614
"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",C463040,,Pancreatic Neoplasms,MESH:D010190,therapeutic,21525939
"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",C504317,,Catalepsy,MESH:D002375,marker/mechanism,19464324
"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",C504317,,Catalepsy,MESH:D002375,therapeutic,15996562
"1,2,3-trichloropropane",C009536,96-18-4,Adenocarcinoma,MESH:D000230,marker/mechanism,12692652
"1,2,3-trichloropropane",C009536,96-18-4,Adenoma,MESH:D000236,marker/mechanism,12692652
"1,2,3-trichloropropane",C009536,96-18-4,"Adenoma, Bile Duct",MESH:D002759,marker/mechanism,16362062
"1,2,3-trichloropropane",C009536,96-18-4,Atrophy,MESH:D001284,marker/mechanism,3184199
"1,2,3-trichloropropane",C009536,96-18-4,Breast Neoplasms,MESH:D001943,marker/mechanism,11921183|12692652|7665008
"1,2,3-trichloropropane",C009536,96-18-4,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,12692652|1918791|22045893
"1,2,3-trichloropropane",C009536,96-18-4,Cholangiocarcinoma,MESH:D018281,marker/mechanism,16362062
"1,2,3-trichloropropane",C009536,96-18-4,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,marker/mechanism,12692652|16362062|1918791|3184199
"1,2,3-trichloropropane",C009536,96-18-4,Gallbladder Neoplasms,MESH:D005706,marker/mechanism,16581948
"1,2,3-trichloropropane",C009536,96-18-4,Hepatomegaly,MESH:D006529,marker/mechanism,12692652|1918791|3184199
"1,2,3-trichloropropane",C009536,96-18-4,Hyperplasia,MESH:D006965,marker/mechanism,12692652
"1,2,3-trichloropropane",C009536,96-18-4,Intestinal Neoplasms,MESH:D007414,marker/mechanism,12692652
"1,2,3-trichloropropane",C009536,96-18-4,Kidney Neoplasms,MESH:D007680,marker/mechanism,12692652|28321044
"1,2,3-trichloropropane",C009536,96-18-4,Leukoencephalopathies,MESH:D056784,marker/mechanism,23390197
"1,2,3-trichloropropane",C009536,96-18-4,"Liver Failure, Acute",MESH:D017114,marker/mechanism,20825388
"1,2,3-trichloropropane",C009536,96-18-4,Liver Neoplasms,MESH:D008113,marker/mechanism,12692652|16581948
"1,2,3-trichloropropane",C009536,96-18-4,"Liver Neoplasms, Experimental",MESH:D008114,marker/mechanism,21097997
"1,2,3-trichloropropane",C009536,96-18-4,Lung Diseases,MESH:D008171,marker/mechanism,12692652|19776212
"1,2,3-trichloropropane",C009536,96-18-4,Lung Injury,MESH:D055370,marker/mechanism,21097997
"1,2,3-trichloropropane",C009536,96-18-4,Mouth Neoplasms,MESH:D009062,marker/mechanism,12692652|7665008
"1,2,3-trichloropropane",C009536,96-18-4,Necrosis,MESH:D009336,marker/mechanism,12692652|1918791
"1,2,3-trichloropropane",C009536,96-18-4,Neoplasm Invasiveness,MESH:D009361,marker/mechanism,22952646
"1,2,3-trichloropropane",C009536,96-18-4,Neoplasms,MESH:D009369,marker/mechanism,8806876
"1,2,3-trichloropropane",C009536,96-18-4,Neurotoxicity Syndromes,MESH:D020258,marker/mechanism,23390197
"1,2,3-trichloropropane",C009536,96-18-4,Occupational Diseases,MESH:D009784,marker/mechanism,23390197
"1,2,3-trichloropropane",C009536,96-18-4,Pancreatic Neoplasms,MESH:D010190,marker/mechanism,12692652
"1,2,3-trichloropropane",C009536,96-18-4,Stomach Neoplasms,MESH:D013274,marker/mechanism,11397402|12692652
"1,2,3-trichloropropane",C009536,96-18-4,Uterine Neoplasms,MESH:D014594,marker/mechanism,12692652|7665008
"1,2,3-trichloropropane",C009536,96-18-4,Weight Loss,MESH:D015431,marker/mechanism,12692652|1918791|28321044|3184199
"1,2,4,5-benzenetetraamine",C539551,,Emphysema,MESH:D004646,marker/mechanism,22276220
"1,2,4,5-tetrachlorobenzene",C018673,95-94-3,Liver Diseases,MESH:D008107,marker/mechanism,1949037
"1,2,4,5-tetrachlorobenzene",C018673,95-94-3,Liver Neoplasms,MESH:D008113,marker/mechanism,9714333
"1,24-dihydroxyvitamin D2",C063087,124043-51-2,Hypercalciuria,MESH:D053565,marker/mechanism,10927029
"1,2,4-triazole",C045575,288-88-0,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,28693887
"1,2,4-triazolo(1,5-c)pyrimidine",C494034,,Catalepsy,MESH:D002375,therapeutic,19109019
"1,2,4-tribromobenzene",C026924,615-54-3,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,9456081
"1,2,4-trichlorobenzene",C009947,120-82-1,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,10092053
"1,2,4-trichlorobenzene",C009947,120-82-1,Fetal Growth Retardation,MESH:D005317,marker/mechanism,6884296
"1,2,4-trichlorobenzene",C009947,120-82-1,Liver Diseases,MESH:D008107,marker/mechanism,1949037
"1,2,4-trichlorobenzene",C009947,120-82-1,Porphyrias,MESH:D011164,marker/mechanism,6636202
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Adenocarcinoma,MESH:D000230,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Adenoma,MESH:D000236,marker/mechanism,21863085|8571376
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Arteriosclerosis,MESH:D001161,marker/mechanism,3142695
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Carcinoma,MESH:D002277,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Hemangioendothelioma,MESH:D006390,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Immunologic Deficiency Syndromes,MESH:D007153,marker/mechanism,8571374
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Kidney Neoplasms,MESH:D007680,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Liver Neoplasms,MESH:D008113,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Lung Neoplasms,MESH:D008175,marker/mechanism,21863085|8571376|9659573
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Mammary Neoplasms, Animal",MESH:D015674,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Micronuclei, Chromosome-Defective",MESH:D048629,marker/mechanism,26603514
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Necrosis,MESH:D009336,marker/mechanism,17961608
"1,2,5,6-dibenzanthracene",C026486,53-70-3,"Neoplasms, Experimental",MESH:D009374,marker/mechanism,6850980
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Papilloma,MESH:D010212,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Poisoning,MESH:D011041,marker/mechanism,1309687
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Sarcoma,MESH:D012509,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Skin Neoplasms,MESH:D012878,marker/mechanism,21863085
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Stomach Neoplasms,MESH:D013274,marker/mechanism,21863085
"1,25-dihydroxy-16-ene-vitamin D3",C087630,124409-58-1,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,7988477
"1,25-dihydroxy-16-ene-vitamin D3",C087630,124409-58-1,Hypercalcemia,MESH:D006934,marker/mechanism,14646396|7837819|7988477
"1,25-(dihydroxy-21-(3-hydorxy-3-methyl-butyl)-nor-cholecalciferol)",C538773,,Hypercalcemia,MESH:D006934,marker/mechanism,18854204
"1,25-dihydroxy-24-oxo-16-ene-vitamin D3",C090785,,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,7988477
"1,25-dihydroxyergocalciferol",C003564,55248-15-2,Postoperative Complications,MESH:D011183,therapeutic,9798688
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Death,MESH:D003643,marker/mechanism,24375224
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Hypercalciuria,MESH:D053565,marker/mechanism,10638776
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Kidney Diseases,MESH:D007674,therapeutic,19594554
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Proteinuria,MESH:D011507,therapeutic,19594554
"1,25-dihydroxyvitamin D",C097949,66772-14-3,Rickets,MESH:D012279,therapeutic,15818308
"1,25(OH)2-16-ene-23-yne-26,27-hexafluoro-19-nor-D3",C408047,,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,marker/mechanism,14646396
"1,25(OH)2-16-ene-23-yne-26,27-hexafluoro-19-nor-D3",C408047,,Hypercalcemia,MESH:D006934,marker/mechanism,14646396
12-acetoxyhawtriwaic acid lactone,C513234,,Dermatitis,MESH:D003872,therapeutic,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Edema,MESH:D004487,therapeutic,16636964|18670081
12-acetoxyhawtriwaic acid lactone,C513234,,"Hypersensitivity, Delayed",MESH:D006968,therapeutic,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Inflammation,MESH:D007249,therapeutic,18670081
12-acetoxyhawtriwaic acid lactone,C513234,,Neurogenic Inflammation,MESH:D020078,therapeutic,16636964
"1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione",C509618,,Status Epilepticus,MESH:D013226,therapeutic,25689173
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,C503634,,Hyperkinesis,MESH:D006948,therapeutic,15925329
"1,2-benzisothiazoline-3-one",C015699,2634-33-5,"Dermatitis, Allergic Contact",MESH:D017449,marker/mechanism,26795242
"1,2-benzisothiazoline-3-one",C015699,2634-33-5,"Dermatitis, Contact",MESH:D003877,marker/mechanism,25724174
"1,2-benzisothiazoline-3-one",C015699,2634-33-5,Poisoning,MESH:D011041,marker/mechanism,28728110
"(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane",C478160,,Necrosis,MESH:D009336,marker/mechanism,28757135
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Drug-Related Side Effects and Adverse Reactions,MESH:D064420,therapeutic,18791180
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Kidney Diseases,MESH:D007674,therapeutic,38878560
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,"Mercury Poisoning, Nervous System",MESH:D020262,therapeutic,18597911
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Necrosis,MESH:D009336,therapeutic,15254339|17323976|18597911
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Ventricular Fibrillation,MESH:D014693,therapeutic,8238564
"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Weight Loss,MESH:D015431,therapeutic,38878560
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Amphetamine-Related Disorders,MESH:D019969,therapeutic,12105088
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Essential Tremor,MESH:D020329,therapeutic,19497322
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,,Breast Neoplasms,MESH:D001943,therapeutic,21955333
"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",C118156,,Carcinoma,MESH:D002277,therapeutic,21955333
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Hypertension,MESH:D006973,therapeutic,27678262
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Vascular Remodeling,MESH:D066253,therapeutic,27678262
"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",C569107,,Neoplasm Invasiveness,MESH:D009361,therapeutic,23826121
1-(2-chloroethyl)-1-nitrosourea,C017139,2365-30-2,Glioblastoma,MESH:D005909,therapeutic,18089819
1-(2-chloroethyl)-1-nitrosourea,C017139,2365-30-2,Melanoma,MESH:D008545,therapeutic,16557598
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Acute Lung Injury,MESH:D055371,therapeutic,35247504
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Chemical and Drug Induced Liver Injury,MESH:D056486,marker/mechanism,35523338
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Chemical and Drug Induced Liver Injury,MESH:D056486,therapeutic,18417483|19371629
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Liver Neoplasms,MESH:D008113,marker/mechanism,35523338
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,"Liver Neoplasms, Experimental",MESH:D008114,therapeutic,21361338
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Multiple Myeloma,MESH:D009101,therapeutic,15070698
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Neoplasms,MESH:D009369,therapeutic,21361338
"1,2-cyclohexanediol",C064619,931-17-9,"Arrhythmias, Cardiac",MESH:D001145,marker/mechanism,12361690
"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",C487780,40093-94-5,Hepatitis B,MESH:D006509,therapeutic,16152756
