source_node,target_node,edge_type
CID_93,PMID_138,DRUG_MENTIONED_IN_LITERATURE
CID_94,PMID_139,DRUG_MENTIONED_IN_LITERATURE
CID_95,PMID_140,DRUG_MENTIONED_IN_LITERATURE
CID_96,PMID_142,DRUG_MENTIONED_IN_LITERATURE
CID_97,PMID_141,DRUG_MENTIONED_IN_LITERATURE
CID_98,PMID_143,DRUG_MENTIONED_IN_LITERATURE
CID_99,PMID_149,DRUG_MENTIONED_IN_LITERATURE
CID_100,PMID_148,DRUG_MENTIONED_IN_LITERATURE
CID_101,PMID_150,DRUG_MENTIONED_IN_LITERATURE
CID_102,PMID_151,DRUG_MENTIONED_IN_LITERATURE
CID_103,PMID_152,DRUG_MENTIONED_IN_LITERATURE
CID_104,PMID_153,DRUG_MENTIONED_IN_LITERATURE
CID_105,PMID_154,DRUG_MENTIONED_IN_LITERATURE
CID_106,PMID_155,DRUG_MENTIONED_IN_LITERATURE
CID_107,PMID_156,DRUG_MENTIONED_IN_LITERATURE
CID_108,PMID_157,DRUG_MENTIONED_IN_LITERATURE
CID_109,PMID_158,DRUG_MENTIONED_IN_LITERATURE
CID_110,PMID_159,DRUG_MENTIONED_IN_LITERATURE
CID_111,PMID_160,DRUG_MENTIONED_IN_LITERATURE
CID_112,PMID_161,DRUG_MENTIONED_IN_LITERATURE
CID_113,PMID_162,DRUG_MENTIONED_IN_LITERATURE
CID_114,PMID_165,DRUG_MENTIONED_IN_LITERATURE
CID_115,PMID_167,DRUG_MENTIONED_IN_LITERATURE
CID_116,PMID_170,DRUG_MENTIONED_IN_LITERATURE
CID_117,PMID_171,DRUG_MENTIONED_IN_LITERATURE
CID_118,PMID_168,DRUG_MENTIONED_IN_LITERATURE
CID_119,PMID_210,DRUG_MENTIONED_IN_LITERATURE
CID_120,PMID_218,DRUG_MENTIONED_IN_LITERATURE
CID_121,PMID_220,DRUG_MENTIONED_IN_LITERATURE
CID_122,PMID_226,DRUG_MENTIONED_IN_LITERATURE
CID_123,PMID_227,DRUG_MENTIONED_IN_LITERATURE
CID_124,PMID_229,DRUG_MENTIONED_IN_LITERATURE
CID_125,PMID_230,DRUG_MENTIONED_IN_LITERATURE
CID_126,PMID_231,DRUG_MENTIONED_IN_LITERATURE
CID_127,PMID_232,DRUG_MENTIONED_IN_LITERATURE
CID_128,PMID_233,DRUG_MENTIONED_IN_LITERATURE
CID_129,PMID_234,DRUG_MENTIONED_IN_LITERATURE
CID_130,PMID_235,DRUG_MENTIONED_IN_LITERATURE
CID_131,PMID_236,DRUG_MENTIONED_IN_LITERATURE
CID_132,PMID_237,DRUG_MENTIONED_IN_LITERATURE
CID_133,PMID_238,DRUG_MENTIONED_IN_LITERATURE
CID_134,PMID_239,DRUG_MENTIONED_IN_LITERATURE
CID_135,PMID_240,DRUG_MENTIONED_IN_LITERATURE
CID_137,PMID_241,DRUG_MENTIONED_IN_LITERATURE
CID_138,PMID_250,DRUG_MENTIONED_IN_LITERATURE
CID_139,PMID_251,DRUG_MENTIONED_IN_LITERATURE
CID_140,PMID_257,DRUG_MENTIONED_IN_LITERATURE
CID_141,PMID_270,DRUG_MENTIONED_IN_LITERATURE
CID_142,PMID_271,DRUG_MENTIONED_IN_LITERATURE
CID_144,PMID_273,DRUG_MENTIONED_IN_LITERATURE
