Enzyme,Action,Target_Organ,Next_Step
ACTA2,Inhibit,Liver,Liver Cirrhosis
ACTA2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ACTA2,Inhibit,Liver,Liver Diseases
ACTA2,Inhibit,Heart,Myocardial Infarction
ACTB,Inhibit,Liver,"Carcinoma, Hepatocellular"
ACTB,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ACTB,Inhibit,Heart,Myocardial Ischemia
ACTC1,Inhibit,Heart,"Cardiomyopathy, Dilated"
ACTC1,Inhibit,Heart,"Cardiomyopathy, Familial Hypertrophic, 11"
ACTN1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ACTN2,Inhibit,Heart,"Cardiomyopathy, Dilated, 1AA"
ACTN4,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ACTR3,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ADA,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADAM17,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADAM3A,Inhibit,Liver,Hepatomegaly
ADAM8,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ADAMTS1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADAMTS13,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADAMTS17,Inhibit,Liver,Liver Neoplasms
ADAMTS19,Inhibit,Heart,Heart Valve Diseases
ADAMTS5,Inhibit,Liver,Hepatomegaly
ADAMTSL2,Inhibit,Heart,Heart Valve Diseases
ADAMTSL2,Inhibit,Liver,Hepatomegaly
ADAR,Inhibit,Heart,Aicardi-Goutieres syndrome
ADAT3,Inhibit,Brain,"NEURODEVELOPMENTAL DISORDER WITH BRAIN ABNORMALITIES, POOR GROWTH, AND DYSMORPHIC FACIES"
ADCY5,Inhibit,Heart,Cardiomyopathies
ADCY5,Inhibit,Brain,Neurodevelopmental Disorders
ADCYAP1,Inhibit,Heart,Cardiomyopathies
ADCYAP1,Inhibit,Brain,Neurotoxicity Syndromes
ADD1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADD3,Inhibit,Brain,Brain Ischemia
ADD3,Inhibit,Brain,"CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3"
ADD3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADD3,Inhibit,Brain,Neurotoxicity Syndromes
ADGRE1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADGRG7,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADH1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADH1A,Inhibit,Liver,"Liver Failure, Acute"
ADH1A,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ADH1B,Inhibit,Brain,Cerebral Infarction
ADH1B,Inhibit,Liver,"Liver Failure, Acute"
ADH1B,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ADH4,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADH4,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADH4,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ADHFE1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADIPOQ,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ADIPOQ,Inhibit,Heart,Heart Failure
ADIPOQ,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADIPOQ,Inhibit,Heart,Myocardial Ischemia
ADIPOQ,Inhibit,Heart,Myocardial Reperfusion Injury
ADIPOQ,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ADM,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADM2,Inhibit,Heart,Myocardial Ischemia
ADNP,Inhibit,Brain,Neurodevelopmental Disorders
ADORA1,Inhibit,Heart,Bradycardia
ADORA1,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
ADORA1,Inhibit,Heart,Myocardial Infarction
ADORA2A,Inhibit,Heart,Cardiomyopathies
ADORA2A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADORA2B,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ADORA3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADORA3,Inhibit,Heart,Myocardial Infarction
ADRA1A,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADRA1A,Inhibit,Liver,Liver Cirrhosis
ADRA1B,Inhibit,Heart,Cardiomegaly
ADRA1B,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ADRA1B,Inhibit,Brain,Neurotoxicity Syndromes
ADRA1D,Inhibit,Heart,"Heart Failure, Diastolic"
ADRA2A,Inhibit,Heart,Cardiomegaly
ADRA2A,Inhibit,Heart,Heart Diseases
ADRA2B,Inhibit,Liver,"Carcinoma, Hepatocellular"
ADRA2C,Inhibit,Heart,Cardiomegaly
ADRA2C,Inhibit,Heart,Heart Failure
ADRB1,Inhibit,Heart,"Cardiomyopathy, Dilated"
ADRB1,Inhibit,Heart,Cardiovascular Diseases
ADRB1,Inhibit,Heart,Endomyocardial Fibrosis
ADRB1,Inhibit,Heart,Heart Failure
ADRB1,Inhibit,Heart,Myocardial Ischemia
ADRB1,Inhibit,Heart,Myocardial Reperfusion Injury
ADRB2,Inhibit,Heart,Cardiomyopathies
ADRB2,Inhibit,Heart,"Cardiomyopathy, Dilated"
ADRB2,Inhibit,Heart,Myocardial Ischemia
ADRB3,Inhibit,Heart,Heart Failure
AEN,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AFF4,Inhibit,Heart,"Heart Defects, Congenital"
AFG2A,Inhibit,Brain,"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES"
AFM,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AFP,Inhibit,Liver,"Carcinoma, Hepatocellular"
AFP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AFP,Inhibit,Liver,Liver Diseases
AFP,Inhibit,Liver,"Liver Neoplasms, Experimental"
AGER,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
AGFG1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AGK,Inhibit,Heart,Cataract and cardiomyopathy
AGL,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AGPAT3,Inhibit,Brain,Neurodegenerative Diseases
AGT,Inhibit,Heart,"Arrhythmias, Cardiac"
AGT,Inhibit,Heart,Bradycardia
AGT,Inhibit,Heart,Cardiomegaly
AGT,Inhibit,Heart,Cardiomyopathies
AGT,Inhibit,Heart,"Cardiomyopathy, Alcoholic"
AGT,Inhibit,Heart,Cardiotoxicity
AGT,Inhibit,Heart,Cardiovascular Abnormalities
AGT,Inhibit,Heart,Cardiovascular Diseases
AGT,Inhibit,Liver,Chemical and Drug Induced Liver Injury
AGT,Inhibit,Heart,Diabetic Cardiomyopathies
AGT,Inhibit,Heart,Endomyocardial Fibrosis
AGT,Inhibit,Heart,Heart Diseases
AGT,Inhibit,Heart,Heart Failure
AGT,Inhibit,Liver,Liver Cirrhosis
AGT,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AGT,Inhibit,Heart,Myocardial Infarction
AGT,Inhibit,Heart,Myocardial Ischemia
AGT,Inhibit,Heart,Myocardial Reperfusion Injury
AGT,Inhibit,Brain,Neurobehavioral Manifestations
AGTR1,Inhibit,Heart,Heart Failure
AGTR1A,Inhibit,Heart,Cardiomegaly
AGTR1A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AGTR2,Inhibit,Heart,Diabetic Cardiomyopathies
AHCY,Inhibit,Liver,Hepatolenticular Degeneration
AHCY,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
AHNAK,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AHR,Inhibit,Heart,Cardiomegaly
AHR,Inhibit,Liver,Chemical and Drug Induced Liver Injury
AHR,Inhibit,Heart,"Heart Defects, Congenital"
AHR,Inhibit,Liver,Hepatomegaly
AHR,Inhibit,Liver,Liver Cirrhosis
AHR,Inhibit,Liver,Liver Diseases
AHR,Inhibit,Liver,Liver Neoplasms
AHR,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
AHR,Inhibit,Heart,Tachycardia
AHR2,Inhibit,Heart,"Heart Defects, Congenital"
AHR2,Inhibit,Heart,Heart Diseases
AHR2,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
AIDA,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AIF,Inhibit,Brain,Neuroinflammatory Diseases
AIF1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AIFM1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
AK1,Inhibit,Heart,Myocardial Ischemia
AKAP5,Inhibit,Heart,Cardiomegaly
AKIP1,Inhibit,Heart,"Heart Failure, Diastolic"
AKR1A1,Inhibit,Liver,"Carcinoma, Hepatocellular"
AKR1A1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
AKR1B1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AKR1B10,Inhibit,Liver,"Carcinoma, Hepatocellular"
AKR1C1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AKR1C19,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AKR1C2,Inhibit,Liver,"Carcinoma, Hepatocellular"
AKR1C3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AKR1C3L1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AKR7A3,Inhibit,Liver,Hepatomegaly
AKT1,Inhibit,Liver,"Carcinoma, Hepatocellular"
AKT1,Inhibit,Heart,Cardiomegaly
AKT1,Inhibit,Heart,Cardiomyopathies
AKT1,Inhibit,Liver,Fatty Liver
AKT1,Inhibit,Liver,Hepatomegaly
AKTIP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ALAD,Inhibit,Liver,Liver Cirrhosis
ALAD,Inhibit,Liver,Liver Diseases
ALAD,Inhibit,Liver,"Porphyria, Acute Hepatic"
ALAD,Inhibit,Liver,"Porphyrias, Hepatic"
ALAS2,Inhibit,Liver,"Liver Neoplasms, Experimental"
ALB,Inhibit,Brain,Brain Diseases
ALB,Inhibit,Brain,Brain Injuries
ALB,Inhibit,Brain,Brain Ischemia
ALB,Inhibit,Heart,Cardiovascular Diseases
ALB,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ALB,Inhibit,Liver,"Cholestasis, Extrahepatic"
ALB,Inhibit,Heart,Heart Diseases
ALB,Inhibit,Heart,Heart Failure
ALB,Inhibit,Liver,Hepatic Insufficiency
ALB,Inhibit,Liver,Hepatitis
ALB,Inhibit,Liver,Hepatomegaly
ALB,Inhibit,Liver,Liver Cirrhosis
