Enzyme,Action,Target_Organ,Next_Step
DNAJB2,Inhibit,Brain,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, AUTOSOMAL RECESSIVE 5"
DNAJB9,Inhibit,Liver,Chemical and Drug Induced Liver Injury
DNAJC12,Inhibit,Liver,Chemical and Drug Induced Liver Injury
DNAJC6,Inhibit,Liver,"Carcinoma, Hepatocellular"
DNASE1L3,Inhibit,Liver,"Carcinoma, Hepatocellular"
DNM1,Inhibit,Brain,Neurodevelopmental Disorders
DNM1L,Inhibit,Heart,Myocardial Ischemia
DNM1L,Inhibit,Heart,Myocarditis
DNMT1,Inhibit,Brain,Hereditary Sensory and Autonomic Neuropathies
DNMT1,Inhibit,Brain,"NEUROPATHY, HEREDITARY SENSORY, TYPE IE"
DOCK10,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DOCK6,Inhibit,Liver,Adams Oliver syndrome
DOCK7,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DOCK8,Inhibit,Brain,Neuroblastoma
DOCK8,Inhibit,Brain,Neurodevelopmental Disorders
DPP10,Inhibit,Liver,Liver Neoplasms
DPP7,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DPYD,Inhibit,Liver,"Carcinoma, Hepatocellular"
DPYS,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DRAM1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DRD2,Inhibit,Heart,Bradycardia
DRD2,Inhibit,Heart,Tachycardia
DSC2,Inhibit,Heart,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 11"
DSC2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
DSCAM,Inhibit,Liver,Hepatomegaly
DSCAM,Inhibit,Brain,Neurodevelopmental Disorders
DSG2,Inhibit,Heart,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10"
DSG2,Inhibit,Heart,"Cardiomyopathy, Dilated, 1BB"
DSP,Inhibit,Heart,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 8"
DSP,Inhibit,Heart,Cardiomyopathy dilated with woolly hair and keratoderma
DSP,Inhibit,Heart,"CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR, KERATODERMA, AND TOOTH AGENESIS"
DSP,Inhibit,Heart,"Death, Sudden, Cardiac"
DST,Inhibit,Brain,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VI"
DSTN,Inhibit,Heart,Heart Failure
DTL,Inhibit,Liver,"Carcinoma, Hepatocellular"
DTX2,Inhibit,Brain,Brain Neoplasms
DUS1L,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DUSP1,Inhibit,Heart,Myocardial Ischemia
DUSP16,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DUSP6,Inhibit,Liver,"Liver Cirrhosis, Experimental"
DUSP6,Inhibit,Heart,Myocardial Ischemia
DUXAP9,Inhibit,Liver,"Carcinoma, Hepatocellular"
DYNC1H1,Inhibit,Brain,"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 13"
DYNLL1,Inhibit,Brain,Brain Ischemia
DYRK1A,Inhibit,Brain,Neurodevelopmental Disorders
DYSF,Inhibit,Liver,"Liver Cirrhosis, Experimental"
E2F1,Inhibit,Liver,"Carcinoma, Hepatocellular"
E2F1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
E2F8,Inhibit,Liver,"Carcinoma, Hepatocellular"
EAF2,Inhibit,Liver,"Carcinoma, Hepatocellular"
ECE1,Inhibit,Heart,"Heart Defects, Congenital"
ECE1,Inhibit,Heart,"Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction"
ECHDC1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ECHS1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ECM1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ECT2,Inhibit,Liver,"Carcinoma, Hepatocellular"
ECT2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EDEM1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
EDN1,Inhibit,Heart,"Arrhythmias, Cardiac"
EDN1,Inhibit,Heart,Bradycardia
EDN1,Inhibit,Heart,Cardiomegaly
EDN1,Inhibit,Heart,Cardiomyopathies
EDN1,Inhibit,Heart,Cardiovascular Abnormalities
EDN1,Inhibit,Heart,Cardiovascular Diseases
EDN1,Inhibit,Brain,Cerebrovascular Disorders
EDN1,Inhibit,Heart,"Heart Defects, Congenital"
EDN1,Inhibit,Heart,Heart Failure
EDN1,Inhibit,Liver,Hepatorenal Syndrome
EDN1,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
EDN1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EDN1,Inhibit,Heart,Myocardial Ischemia
EDN1,Inhibit,Heart,Myocardial Reperfusion Injury
EDN2,Inhibit,Heart,Bradycardia
EDN3,Inhibit,Heart,Bradycardia
EDNRA,Inhibit,Heart,"Heart Defects, Congenital"
EDNRA,Inhibit,Heart,Heart Failure
EDNRB,Inhibit,Heart,Heart Failure
EEF1A2,Inhibit,Brain,Neurodevelopmental Disorders
EEIG2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EFNB2,Inhibit,Liver,Liver Neoplasms
EGF,Inhibit,Liver,"Carcinoma, Hepatocellular"
EGF,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EGFR,Inhibit,Liver,"Carcinoma, Hepatocellular"
EGFR,Inhibit,Heart,"Cardiomyopathy, Dilated"
EGLN1,Inhibit,Brain,Neurotoxicity Syndromes
EGLN3,Inhibit,Liver,Liver Neoplasms
EGR1,Inhibit,Brain,Brain Ischemia
EGR1,Inhibit,Liver,"Carcinoma, Hepatocellular"
EGR1,Inhibit,Liver,"Cholestasis, Intrahepatic"
EGR2,Inhibit,Liver,"Carcinoma, Hepatocellular"
EGR2,Inhibit,Brain,Hereditary Sensory and Motor Neuropathy
EGR2,Inhibit,Heart,Myocardial Ischemia
EHD3,Inhibit,Liver,"Carcinoma, Hepatocellular"
EIF2A,Inhibit,Heart,Myocardial Ischemia
EIF2AK1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
EIF2AK1,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
EIF2AK3,Inhibit,Heart,Myocardial Ischemia
EIF3H,Inhibit,Liver,"Carcinoma, Hepatocellular"
EIF4E3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EIF4EBP2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ELK3,Inhibit,Heart,"Heart Failure, Diastolic"
ELN,Inhibit,Heart,Myocardial Ischemia
ELOVL5,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ELOVL6,Inhibit,Heart,Heart Failure
EMB,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EML1,Inhibit,Brain,Band Heterotopia of Brain
EML4,Inhibit,Brain,Brain Neoplasms
EMP1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ENC1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ENO1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ENO1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ENO2,Inhibit,Brain,Brain Injuries
ENO2,Inhibit,Liver,"Liver Neoplasms, Experimental"
ENO3,Inhibit,Liver,Liver Diseases
ENPEP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ENPP2,Inhibit,Liver,Hepatitis
ENPP2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ENSA,Inhibit,Heart,Myocardial Ischemia
ENTPD2,Inhibit,Liver,"Liver Cirrhosis, Biliary"
EOGT,Inhibit,Liver,Adams Oliver syndrome
EOMES,Inhibit,Brain,Gastro-enteropancreatic neuroendocrine tumor
EPAS1,Inhibit,Liver,"Carcinoma, Hepatocellular"
EPB41L2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EPCAM,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EPG5,Inhibit,Heart,Cardiomyopathies
EPHB2,Inhibit,Brain,PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY
EPHX1,Inhibit,Liver,"Carcinoma, Hepatocellular"
EPHX1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
EPHX1,Inhibit,Heart,Myocardial Ischemia
EPHX2,Inhibit,Heart,Heart Failure
EPHX2,Inhibit,Heart,Myocardial Ischemia
EPHX2,Inhibit,Heart,Myocardial Reperfusion Injury
EPN3,Inhibit,Heart,"Heart Failure, Diastolic"
EPO,Inhibit,Brain,Brain Injuries
EPO,Inhibit,Heart,Cardiomyopathies
EPO,Inhibit,Heart,Heart Diseases
EPO,Inhibit,Heart,"Heart Septal Defects, Ventricular"
EPO,Inhibit,Heart,Myocardial Infarction
EPO,Inhibit,Brain,Neurodegenerative Diseases
EPO,Inhibit,Brain,Polyneuropathies
EPO,Inhibit,Heart,"Shock, Cardiogenic"
EPO,Inhibit,Heart,"Tachycardia, Ventricular"
EPS8L3,Inhibit,Liver,"Carcinoma, Hepatocellular"
ERAP1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ERBB3,Inhibit,Brain,Neuronal intestinal pseudoobstruction
ERCC1,Inhibit,Brain,Cerebrooculofacioskeletal Syndrome 4
ERCC2,Inhibit,Brain,Cerebrooculofacioskeletal Syndrome 2
ERCC5,Inhibit,Brain,Cerebrooculofacioskeletal Syndrome 3
ERCC6,Inhibit,Brain,Cerebrooculofacioskeletal Syndrome 1
EREG,Inhibit,Liver,"Carcinoma, Hepatocellular"
ERGIC1,Inhibit,Brain,Arthrogryposis multiplex congenita neurogenic type
ERLEC1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ERN1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ERN1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ERP29,Inhibit,Liver,"Carcinoma, Hepatocellular"
ES2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ESM1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ESM1,Inhibit,Liver,Liver Neoplasms
ESR1,Inhibit,Liver,"Carcinoma, Hepatocellular"
ESR1,Inhibit,Liver,Liver Neoplasms
ESR1,Inhibit,Liver,"Liver Neoplasms, Experimental"
ESR1,Inhibit,Heart,Myocardial Infarction
ESR1,Inhibit,Brain,Neuroblastoma
ESR1,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
ESR2,Inhibit,Heart,"Arrhythmias, Cardiac"
ETFA,Inhibit,Liver,"Carcinoma, Hepatocellular"
EWSR1,Inhibit,Brain,"Neuroectodermal Tumors, Primitive"
EXO1,Inhibit,Liver,"Carcinoma, Hepatocellular"
EXOSC2,Inhibit,Liver,Liver Neoplasms
EXTL1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
EXTL3,Inhibit,Brain,IMMUNOSKELETAL DYSPLASIA WITH NEURODEVELOPMENTAL ABNORMALITIES
EYA1,Inhibit,Heart,Cayler cardiofacial syndrome
EYA1,Inhibit,Heart,"Heart Defects, Congenital"
EYA4,Inhibit,Heart,"Cardiomyopathy, Dilated, 1J"
EZH2,Inhibit,Liver,"Carcinoma, Hepatocellular"
EZR,Inhibit,Liver,"Liver Cirrhosis, Experimental"
F12,Inhibit,Liver,"Liver Neoplasms, Experimental"
F13A1,Inhibit,Heart,Myocardial Infarction
F2,Inhibit,Brain,Brain Ischemia
F2,Inhibit,Liver,"Carcinoma, Hepatocellular"
F2,Inhibit,Liver,Fatty Liver
F2,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
F2,Inhibit,Liver,Liver Cirrhosis
F2,Inhibit,Liver,Liver Failure
F2,Inhibit,Heart,Myocardial Infarction
F2,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
F2R,Inhibit,Liver,Fatty Liver
F2R,Inhibit,Liver,Hepatitis
F2R,Inhibit,Liver,Liver Cirrhosis
F2R,Inhibit,Liver,"Liver Cirrhosis, Experimental"
F2RL1,Inhibit,Heart,Myocardial Ischemia
F2RL3,Inhibit,Liver,Chemical and Drug Induced Liver Injury
F2RL3,Inhibit,Liver,Peliosis Hepatis
F3,Inhibit,Liver,Chemical and Drug Induced Liver Injury
F3,Inhibit,Liver,Liver Cirrhosis
F3,Inhibit,Heart,Myocardial Ischemia
F5,Inhibit,Brain,Brain Ischemia
F5,Inhibit,Liver,Liver Cirrhosis
F5,Inhibit,Heart,Myocardial Infarction
F7,Inhibit,Brain,Cerebral Hemorrhage
F7,Inhibit,Liver,"Liver Failure, Acute"
F7,Inhibit,Heart,Myocardial Infarction
FA2H,Inhibit,Brain,"SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE, WITH OR WITHOUT NEURODEGENERATION"
FABP1,Inhibit,Liver,"Liver Failure, Acute"
FABP2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FABP5,Inhibit,Liver,"Carcinoma, Hepatocellular"
FABP5,Inhibit,Heart,Myocardial Ischemia
FABP7,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FADD,Inhibit,Liver,"IMMUNODEFICIENCY 90 WITH ENCEPHALOPATHY, FUNCTIONAL HYPOSPLENIA, AND HEPATIC DYSFUNCTION"
FADS1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FADS2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FAHD1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FAM111B,Inhibit,Liver,"Carcinoma, Hepatocellular"
FAM134B,Inhibit,Liver,"Carcinoma, Hepatocellular"
FAM167B,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FAM180A,Inhibit,Liver,"Carcinoma, Hepatocellular"
FAM43A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FAM65C,Inhibit,Liver,"Carcinoma, Hepatocellular"
FAM72B,Inhibit,Liver,"Carcinoma, Hepatocellular"
FAM89A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FANCD2,Inhibit,Liver,"Carcinoma, Hepatocellular"
FANCI,Inhibit,Liver,"Carcinoma, Hepatocellular"
FARSB,Inhibit,Brain,RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 1
FAS,Inhibit,Heart,Cardiomyopathies
FAS,Inhibit,Heart,"Cardiomyopathy, Dilated"
FAS,Inhibit,Heart,Cardiotoxicity
FAS,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FAS,Inhibit,Liver,"Liver Failure, Acute"
FAS,Inhibit,Liver,"Liver Neoplasms, Experimental"
FAS,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
FAS,Inhibit,Heart,"Pregnancy Complications, Cardiovascular"
FASL,Inhibit,Heart,Cardiotoxicity
FASLG,Inhibit,Heart,Cardiomyopathies
FASLG,Inhibit,Heart,"Cardiomyopathy, Dilated"
FASLG,Inhibit,Heart,Cardiotoxicity
FASLG,Inhibit,Liver,Hepatitis
FASLG,Inhibit,Liver,"Liver Failure, Acute"
FASN,Inhibit,Liver,"Carcinoma, Hepatocellular"
FASN,Inhibit,Heart,"Cardiomyopathy, Dilated"
FASN,Inhibit,Heart,"Cardiomyopathy, Hypertrophic"
FASN,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FASN,Inhibit,Heart,Heart Failure
FAT1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FATE1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FBLN5,Inhibit,Heart,Heart Failure
FBN1,Inhibit,Liver,Liver Cirrhosis
FBN1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FBP1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FBP1,Inhibit,Liver,"Liver Failure, Acute"
FBP2,Inhibit,Liver,"Liver Failure, Acute"
FBXL18,Inhibit,Liver,"Carcinoma, Hepatocellular"
FBXO38,Inhibit,Brain,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, AUTOSOMAL DOMINANT 6"
FBXO9,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FCER1G,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FCGR1A,Inhibit,Heart,Heart Valve Diseases
FCGR1A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FCGR3A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FCMR,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FCN1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FCN2,Inhibit,Liver,"Carcinoma, Hepatocellular"
FCN3,Inhibit,Liver,"Carcinoma, Hepatocellular"
FDFT1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FEV,Inhibit,Heart,Myocardial Ischemia
FEZ2,Inhibit,Heart,Myocardial Ischemia
FFAR2,Inhibit,Brain,Neuroinflammatory Diseases
FFAR3,Inhibit,Brain,Neuroinflammatory Diseases
FGA,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FGF1,Inhibit,Heart,Myocardial Ischemia
FGF12,Inhibit,Liver,Hepatomegaly
FGF15,Inhibit,Liver,Hepatic Insufficiency
FGF15,Inhibit,Liver,Liver Cirrhosis
FGF19,Inhibit,Liver,"Carcinoma, Hepatocellular"
FGF2,Inhibit,Brain,Brain Infarction
FGF2,Inhibit,Brain,Brain Injuries
FGF2,Inhibit,Heart,Cardiomegaly
FGF2,Inhibit,Liver,Liver Cirrhosis
FGF2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FGF2,Inhibit,Heart,Myocardial Ischemia
FGF21,Inhibit,Liver,Fatty Liver
FGF21,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
FGF21,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
FGF3,Inhibit,Liver,"Carcinoma, Hepatocellular"
FGF4,Inhibit,Liver,"Carcinoma, Hepatocellular"
FGF7,Inhibit,Liver,Liver Cirrhosis
FGF8,Inhibit,Heart,Cardiovascular Abnormalities
FGFR1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FGFR1,Inhibit,Heart,Heart Valve Diseases
FGFR2,Inhibit,Liver,Liver Cirrhosis
FGL2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FGR,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FHIT,Inhibit,Liver,Liver Neoplasms
FHL1,Inhibit,Heart,"Heart Failure, Diastolic"
FHL1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FHL2,Inhibit,Heart,Cardiomegaly
FHL2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FIBIN,Inhibit,Heart,"Heart Failure, Diastolic"
FIP1L1,Inhibit,Heart,Heart Failure
FIS1,Inhibit,Brain,"Ceroid lipofuscinosis, neuronal 1, infantile"
FJX1,Inhibit,Brain,Brain Neoplasms
FKBP1A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FKBP5,Inhibit,Brain,Neurobehavioral Manifestations
FKTN,Inhibit,Heart,"Cardiomyopathy, Dilated, 1x"
FLCN,Inhibit,Liver,Liver Neoplasms
FLI1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FLNA,Inhibit,Heart,"Cardiac valvular dysplasia, X-linked"
FLNA,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FLNA,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
FLNC,Inhibit,Heart,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26"
FLT1,Inhibit,Brain,Cerebral Hemorrhage
FLT1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FLT1,Inhibit,Liver,Liver Cirrhosis
FLVCR1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FMNL1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FMNL2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FMO1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FMO3,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FNDC5,Inhibit,Heart,Cardiomegaly
FNDC5,Inhibit,Heart,Endomyocardial Fibrosis
FOCAD,Inhibit,Liver,Liver Cirrhosis
FOLR1,Inhibit,Brain,"Brain Diseases, Metabolic, Inborn"
FOLR1,Inhibit,Heart,"Heart Defects, Congenital"
FOLR1,Inhibit,Brain,Neurodegeneration Due To Cerebral Folate Transport Deficiency
FOLR2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FOLR2,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
FOS,Inhibit,Brain,Brain Injuries
FOS,Inhibit,Liver,"Carcinoma, Hepatocellular"
FOS,Inhibit,Liver,"Cholestasis, Extrahepatic"
FOS,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
FOS,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FOS,Inhibit,Brain,Neurotoxicity Syndromes
FOSB,Inhibit,Liver,"Carcinoma, Hepatocellular"
FOSB,Inhibit,Liver,Liver Neoplasms
FOXA1,Inhibit,Liver,Fatty Liver
FOXA2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FOXC2,Inhibit,Heart,Cardiovascular Abnormalities
FOXG1,Inhibit,Brain,Neurodevelopmental Disorders
FOXM1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FOXM1,Inhibit,Liver,"Liver Neoplasms, Experimental"
FOXO3,Inhibit,Liver,Liver Cirrhosis
FOXP1,Inhibit,Brain,Neurodevelopmental Disorders
FOXP4-AS1,Inhibit,Liver,"Carcinoma, Hepatocellular"
FOXP4-AS1,Inhibit,Liver,"Liver Neoplasms, Experimental"
FRY,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FST,Inhibit,Liver,"Carcinoma, Hepatocellular"
FST,Inhibit,Liver,"Liver Failure, Acute"
FST,Inhibit,Liver,Liver Neoplasms
FSTL1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FTCD,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FTH1,Inhibit,Brain,Neurodegenerative Diseases
FTH1,Inhibit,Brain,Neurotoxicity Syndromes
FTL,Inhibit,Brain,Neuroferritinopathy
FTL1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
FTL1,Inhibit,Brain,Neurodegenerative Diseases
FTO,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
FXN,Inhibit,Brain,Neurobehavioral Manifestations
FXYD2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FXYD3,Inhibit,Heart,"Heart Failure, Diastolic"
FXYD5,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FXYD6,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FYN,Inhibit,Liver,"Liver Cirrhosis, Experimental"
FZD8,Inhibit,Liver,"Liver Cirrhosis, Experimental"
G0S2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
G6PC1,Inhibit,Liver,Hepatorenal form of glycogen storage disease
G6PC1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GAA,Inhibit,Heart,"Cardiomyopathy, Hypertrophic"
GABRA1,Inhibit,Liver,Hepatic Encephalopathy
GABRA6,Inhibit,Brain,"Infarction, Middle Cerebral Artery"
GABRB1,Inhibit,Liver,Hepatic Encephalopathy
GABRB2,Inhibit,Brain,Neurodevelopmental Disorders
GABRB3,Inhibit,Brain,Brain Injuries
GABRB3,Inhibit,Brain,Neurodevelopmental Disorders
GABRD,Inhibit,Liver,"Carcinoma, Hepatocellular"
GABRG2,Inhibit,Liver,Hepatic Encephalopathy
GABRG3,Inhibit,Brain,Brain Injuries
GABRR2,Inhibit,Liver,Liver Diseases
GABRR2,Inhibit,Brain,Neurotoxicity Syndromes
GADD45A,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GADL1,Inhibit,Liver,Liver Neoplasms
GAL,Inhibit,Heart,Tachycardia
GALC,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GALNT13,Inhibit,Liver,Hepatomegaly
GAN,Inhibit,Brain,Giant Axonal Neuropathy
GANAB,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GAPDH,Inhibit,Liver,"Carcinoma, Hepatocellular"
GARS1,Inhibit,Brain,"Neuronopathy, Distal Hereditary Motor, Type V"
GAS5,Inhibit,Heart,Myocardial Ischemia
GAS6,Inhibit,Heart,Cardiomegaly
GASK1B,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GATA2,Inhibit,Heart,Cardiovascular Abnormalities
GATA3,Inhibit,Brain,Gastro-enteropancreatic neuroendocrine tumor
GATA3,Inhibit,Brain,Neuroblastoma
GATA4,Inhibit,Heart,Cardiomegaly
GATA4,Inhibit,Heart,"Heart Septal Defects, Ventricular"
GATA4,Inhibit,Heart,Myocardial Infarction
GATA4,Inhibit,Heart,TESTICULAR ANOMALIES WITH OR WITHOUT CONGENITAL HEART DISEASE
GATA6,Inhibit,Heart,CONOTRUNCAL HEART MALFORMATIONS
GATA6,Inhibit,Heart,"HEART DEFECTS, CONGENITAL, AND OTHER CONGENITAL ANOMALIES"
GATAD1,Inhibit,Heart,"CARDIOMYOPATHY, DILATED, 2B"
GATM,Inhibit,Heart,Heart Failure
GATM,Inhibit,Heart,Myocardial Ischemia
GBA3,Inhibit,Liver,"Carcinoma, Hepatocellular"
GBP2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GBP2,Inhibit,Heart,Myocardial Ischemia
GBP4,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GC,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GC,Inhibit,Liver,Hepatic Encephalopathy
GC,Inhibit,Liver,Liver Cirrhosis
GC,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GC,Inhibit,Liver,"Liver Failure, Acute"
GCAT,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GCG,Inhibit,Heart,Bradycardia
GCG,Inhibit,Heart,Heart Diseases
GCG,Inhibit,Heart,Heart Failure
GCG,Inhibit,Heart,Tachycardia
GCG,Inhibit,Heart,"Tachycardia, Sinus"
GCH1,Inhibit,Heart,Myocardial Ischemia
GCHFR,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GCK,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GCLC,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GCLC,Inhibit,Heart,Myocardial Infarction
GCLC,Inhibit,Heart,Myocardial Ischemia
GCLM,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GCLM,Inhibit,Heart,Myocardial Infarction
GCNT1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GDA,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GDF1,Inhibit,Heart,"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 6"
GDF1,Inhibit,Heart,"Heart Defects, Congenital"
GDF15,Inhibit,Liver,"Carcinoma, Hepatocellular"
GDF15,Inhibit,Heart,Heart Failure
GDF15,Inhibit,Heart,Myocardial Ischemia
GDF2,Inhibit,Liver,"Carcinoma, Hepatocellular"
GDF3,Inhibit,Heart,"Heart Defects, Congenital"
GDI1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GDNF,Inhibit,Brain,Neurodegenerative Diseases
GDNF,Inhibit,Brain,Neurologic Manifestations
GET1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GFAP,Inhibit,Brain,"Ceroid lipofuscinosis, neuronal 1, infantile"
GFAP,Inhibit,Brain,Neuromyelitis Optica
GFER,Inhibit,Liver,"Liver Failure, Acute"
GFI1,Inhibit,Brain,Gastro-enteropancreatic neuroendocrine tumor
GFRA1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GGH,Inhibit,Liver,Chemical and Drug Induced Liver Injury
GGH,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GGT1,Inhibit,Liver,Liver Diseases
GGT1,Inhibit,Heart,Myocardial Infarction
GGTA1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GH1,Inhibit,Heart,Cardiovascular Diseases
GH1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
GHR,Inhibit,Liver,"Carcinoma, Hepatocellular"
